0,86852.28,13478.778
1,90605.74,30462.834
2,117205.58,65234.305
3,109145.59,63801.344
4,120119.13,55297.746
5,119824.766,62833.188
6,108444.38,57978.316
7,117680.84,87829.23
8,143922.47,99357.52
9,121379.586,91325.23
10,121898.48,89330.92
11,109978.07,60385.504
12,111715.88,92391.414
13,103439.05,42283.484
14,117807.1,88810.16
15,113418.41,92357.83
16,143611.39,99542.234
17,121365.99,83913.25
18,132457.1,92285.58
19,122136.64,85182.28
20,111235.57,92181.336
21,120503.39,85784.875
22,108471.15,80322.54
23,115322.625,97636.78
24,111695.84,105092.15
25,132071.92,99224.62
26,120276.2,81767.68
27,133453.89,108889.35
28,109961.08,99193.3
29,133022.56,98914.07
30,121284.68,106810.88
31,112275.984,97810.93
32,131284.44,97177.01
33,111251.445,90451.36
34,120194.33,112522.8
35,131484.58,117718.07
36,99891,80647.414
37,121906.39,105705.625
38,129243.11,99034.6
39,121707.945,87122.24
40,121120.49,79429.336
41,112509.14,101534.55
42,108627.76,54978.875
43,133314.5,112904.2
44,120512.164,94911.19
45,112199.12,83996.516
46,111912.13,83910.22
47,122029.69,83941.44
48,101562.53,79296.54
49,143402.89,119402.125
50,121483.4,108198.305
51,110883.11,100486.695
52,120994.01,105081.945
